strategy,cumulative_return,sharpe_ratio,maximum_drawdown,win_rate,number_of_trades
Buy and Hold,3.8057646720570557,0.9780238729831597,-0.3406550272001256,1.0,1.0
Machine Learning,0.8772910102860907,0.5813074584080932,-0.330459611590518,0.5748626073456554,167.0
Rule-Based,2.347663540849277,1.0894482291882828,-0.24956348844978204,0.39496468633153303,81.66666666666667
