feature,importance,absolute_importance
return_5d,0.07092557203155157,0.07092557203155157
sma_20_vs_sma_50,0.06810606084237705,0.06810606084237705
volatility_10d,-0.06120452004792999,0.06120452004792999
close_vs_sma_20,-0.04924007832964178,0.04924007832964178
volume_change_5d,-0.03452146316416742,0.03452146316416742
rsi_14,-0.031628444237781134,0.031628444237781134
return_10d,-0.005531699504936222,0.005531699504936222
