date,Rule-Based,Machine Learning,Buy and Hold
2019-01-02,0.0,-0.0188442729602899,-0.052046678537427137
2019-01-03,0.0,0.011165303278322325,0.03965651873221939
2019-01-04,0.0,0.0,0.005854800343501092
2019-01-07,0.003015223292357039,0.0,0.012501182323451912
2019-01-08,0.004274395003856624,0.0,0.009934877977087217
2019-01-09,0.002129331493461025,0.0,0.0031948105009785475
2019-01-10,-0.001090689340258429,0.0,-0.004363313502324069
2019-01-11,-0.004979290920407793,0.0,-0.00999172999076133
2019-01-14,0.010329137345776193,0.0,0.017151354592081836
2019-01-15,0.0007450236425997255,0.0,0.0048172824059803014
2019-01-16,0.005156894818505157,0.0,0.007136190383357037
2019-01-17,0.007736911168638949,0.0,0.009790028313357476
2019-01-18,-0.01118036826415647,0.0,-0.018662505311523987
2019-01-22,0.0011296731793918695,0.0,0.0024778497269527153
2019-01-23,0.0023356336145995784,0.0,-0.00030651437511693597
2019-01-24,0.006803492725650025,0.0,0.01784924319770916
2019-01-25,-0.006650961959020818,0.0,-0.009735784987442616
2019-01-28,-0.0035894328512553475,0.0,-0.007044368050880563
2019-01-29,0.013756206713769759,0.0,0.03653438429756376
2019-01-30,0.010317408515444567,0.0,0.010317408515444567
2019-01-31,-0.001086621599146964,0.0,-0.001086621599146964
2019-02-01,0.015954063062441366,0.0,0.015954063062441366
2019-02-04,0.010049858143654186,0.002949405858547527,0.010049858143654186
2019-02-05,-0.0013186132569919702,-0.0009939543635519483,-0.0013186132569919702
2019-02-06,-0.013967235679612259,-0.004476650379919696,-0.013967235679612259
2019-02-07,0.0014525905326195538,0.00040709598554999893,0.0014525905326195538
2019-02-08,-0.0020483988814322673,0.0,-0.0020483988814322673
2019-02-11,0.01208751518409712,0.004928758086519898,0.01208751518409712
2019-02-12,-6.854712372365383e-05,0.0,-6.854712372365383e-05
2019-02-13,0.0008844186906856363,0.0004095061744624484,0.0008844186906856363
2019-02-14,0.00429257516269362,0.005033979868653245,0.00429257516269362
2019-02-15,0.0022333801605358694,0.0012360151487799491,0.0022333801605358694
2019-02-19,0.002758799788477373,0.002086988601189647,0.002758799788477373
2019-02-20,-0.004283857012576793,-0.003098582193483135,-0.004283857012576793
2019-02-21,0.008255273624720042,0.006188624759440191,0.008255273624720042
2019-02-22,0.004096647317635445,0.003642826461691081,0.004096647317635445
2019-02-25,0.0002986302337978364,0.0005371596333809681,0.0002986302337978364
2019-02-26,0.0006780540407058296,0.0008213470588309679,0.0006780540407058296
2019-02-27,-0.004667456929194162,-0.004046658603249043,-0.004667456929194162
2019-02-28,0.007894791938387083,0.007894791938387083,0.007894791938387083
2019-03-01,0.0005211293142706186,0.0005211293142706186,0.0005211293142706186
2019-03-04,-0.0008115911008663342,-0.0008115911008663342,-0.0008115911008663342
2019-03-05,-0.00582748263665848,-0.0038085611563344335,-0.00582748263665848
2019-03-06,-0.010737508637393386,-0.010737508637393386,-0.010737508637393386
2019-03-07,-0.0003798358989212103,-0.0003798358989212103,-0.0003798358989212103
2019-03-08,0.02331379953404622,0.02331379953404622,0.02331379953404622
2019-03-11,0.0068334454052871125,0.0068334454052871125,0.0068334454052871125
